timestamp_utc,symbol,entry_price,rsi,res_1h,outcome,outcome_pct,resolved
2026-08-21T11:20:07.693038+00:00,ENA-USDT-SWAP,0.14097,87.47,0.14491,BASARISIZ (direnc kirildi),5.58,True
2026-08-21T12:32:45.582127+00:00,ROBO-USDT-SWAP,0.01643,89.6,0.01569,BASARISIZ (direnc kirildi),-1.46,True
2026-08-21T12:32:52.700437+00:00,EGLD-USDT-SWAP,3.192,89.42,3.193,BASARISIZ (direnc kirildi),1.47,True
2026-08-21T12:33:00.047739+00:00,BIGTIME-USDT-SWAP,0.00606,86.96,0.0061,PENDING,0.0,False
2026-08-21T13:40:32.781344+00:00,INFQ-USDT-SWAP,13.393,92.45,12.796,BASARISIZ (direnc kirildi),-0.25,True
2026-08-21T13:40:39.784032+00:00,EGLD-USDT-SWAP,3.264,91.34,3.278,BASARISIZ (direnc kirildi),0.8,True
2026-08-21T13:40:46.773112+00:00,BCH-USDT-SWAP,265.6,90.49,269.5,BASARISIZ (direnc kirildi),4.56,True
2026-08-21T14:28:00.737218+00:00,EGLD-USDT-SWAP,3.288,91.58,3.305,PENDING,0.0,False
2026-08-21T14:28:07.672901+00:00,BCH-USDT-SWAP,273.4,91.57,269.5,BASARISIZ (direnc kirildi),1.57,True
2026-08-21T14:28:14.450216+00:00,BIGTIME-USDT-SWAP,0.006098,90.0,0.006135,PENDING,0.0,False
2026-08-21T15:27:02.934876+00:00,USAR-USDT-SWAP,18.95,90.14,19.09,BASARISIZ (direnc kirildi),1.16,True
2026-08-21T15:27:10.044171+00:00,CHZ-USDT-SWAP,0.01446,89.54,0.01455,PENDING,0.0,False
2026-08-21T15:27:17.403696+00:00,FARTCOIN-USDT-SWAP,0.193,89.04,0.1949,BASARISIZ (direnc kirildi),1.3,TRUE
2026-08-21T16:24:38.432978+00:00,USAR-USDT-SWAP,19.04,90.14,19.26,BASARISIZ (direnc kirildi),2.05,TRUE
2026-08-21T16:24:45.183155+00:00,FARTCOIN-USDT-SWAP,0.1964,89.94,0.1967,PENDING,0.0,False
2026-08-21T16:24:51.915473+00:00,SEI-USDT-SWAP,0.04702,89.3,0.04728,PENDING,0.0,False
2026-08-21T17:22:45.322002+00:00,USAR-USDT-SWAP,19.12,89.91,19.35,BASARISIZ (direnc kirildi),1.62,TRUE
2026-08-21T17:22:52.571647+00:00,MASK-USDT-SWAP,0.4361,87.62,0.4413,PENDING,0.0,False
2026-08-21T17:23:00.083978+00:00,MEW-USDT-SWAP,0.0004202,86.62,0.0004264,PENDING,0.0,False
2026-08-21T18:27:26.675028+00:00,AUCTION-USDT-SWAP,3.264,96.55,3.293,PENDING,0.0,FALSE
2026-08-21T18:27:33.838558+00:00,FARTCOIN-USDT-SWAP,0.1986,92.81,0.1995,PENDING,0.0,FALSE
2026-08-21T18:27:41.013793+00:00,USAR-USDT-SWAP,19.34,90.55,19.55,PENDING,0.0,FALSE
